id,message,priority_label,disaster_type,injured,trapped,fire,medical_emergency,people_affected,urgency,scenario_family,event_id,source_type,annotation_reason,language,split
rpv3-03191,Resident says: Biological report: The forecast is being monitored from a safe place; no response is requested. along the main road. This is the latest update.,LOW,biological,0,0,0,0,0,4,forecast,v3_biological_low_05,controlled_synthetic_v3,V3 policy example; forecast scenario with contextual rescue urgency.,en,train
rpv3-00349,"Resident says: At this location, flood report: The preparedness drill finished normally and this is not an active emergency. near the school.",LOW,flood,0,0,0,0,0,5,drill,v3_flood_low_03,controlled_synthetic_v3,V3 policy example; drill scenario with contextual rescue urgency.,en,test
rpv3-01972,"At this location, tornado report: A small incident is contained; everyone is accounted for and safe. near the market. Please advise.",LOW,tornado,0,0,1,0,2,1,contained,v3_tornado_low_04,controlled_synthetic_v3,V3 policy example; contained scenario with contextual rescue urgency.,en,test
rpv3-03879,Caller reports: Other report: One person has a stable minor injury and can wait for non-urgent medical assistance. at the apartment block. This is the latest update.,MEDIUM,other,1,0,0,1,1,4,stable,v3_other_medium_04,controlled_synthetic_v3,V3 policy example; stable scenario with contextual rescue urgency.,en,train
rpv3-03066,"At this location, biological report: One person has a stable minor injury and can wait for non-urgent medical assistance. at the apartment block. This is the latest update.",MEDIUM,biological,1,0,0,1,1,5,stable,v3_biological_medium_04,controlled_synthetic_v3,V3 policy example; stable scenario with contextual rescue urgency.,en,train
rpv3-00713,Dispatch note: Earthquake report: The area is safe and no one needs assistance at this location. near the school. No other details are available.,LOW,earthquake,0,0,0,0,0,1,safe,v3_earthquake_low_01,controlled_synthetic_v3,V3 policy example; safe scenario with contextual rescue urgency.,en,test
rpv3-02323,"Dispatch note: At this location, industrial report: This is a news update about the disaster; there is no emergency here. at the apartment block. No other details are available.",LOW,industrial,0,0,0,0,0,1,news,v3_industrial_low_02,controlled_synthetic_v3,V3 policy example; news scenario with contextual rescue urgency.,en,train
rpv3-02944,"Field update: Biological report: Several households need urgent shelter after the incident, with no one trapped. in the north district. This is the latest update.",HIGH,biological,0,0,0,0,24,2,shelter,v3_biological_high_03,controlled_synthetic_v3,V3 policy example; shelter scenario with contextual rescue urgency.,en,train
rpv3-03047,Caller reports: Biological report: Debris is blocking a local road and a maintenance response is needed. near the market. Please advise.,MEDIUM,biological,0,0,0,0,4,4,road,v3_biological_medium_03,controlled_synthetic_v3,V3 policy example; road scenario with contextual rescue urgency.,en,validation
rpv3-00205,Dispatch note: Flood report: Moderate damage affects the area; residents need a welfare check and basic assistance. in the north district.,MEDIUM,flood,0,0,0,0,8,3,damage,v3_flood_medium_01,controlled_synthetic_v3,V3 policy example; damage scenario with contextual rescue urgency.,en,train
rpv3-01432,"At this location, wildfire report: Several people need water and supplies, but everyone is safe for now. along the main road. Please advise.",MEDIUM,wildfire,0,0,0,0,15,5,supplies,v3_wildfire_medium_02,controlled_synthetic_v3,V3 policy example; supplies scenario with contextual rescue urgency.,en,train
rpv3-01472,"At this location, wildfire report: One person has a stable minor injury and can wait for non-urgent medical assistance. at the apartment block. This is the latest update.",MEDIUM,wildfire,1,0,0,1,1,1,stable,v3_wildfire_medium_04,controlled_synthetic_v3,V3 policy example; stable scenario with contextual rescue urgency.,en,validation
rpv3-03056,Resident says: Biological report: Debris is blocking a local road and a maintenance response is needed. at the apartment block. Send the appropriate team.,MEDIUM,biological,0,0,0,0,4,5,road,v3_biological_medium_03,controlled_synthetic_v3,V3 policy example; road scenario with contextual rescue urgency.,en,validation
rpv3-01447,Caller reports: Wildfire report: Debris is blocking a local road and a maintenance response is needed. near the school.,MEDIUM,wildfire,0,0,0,0,4,2,road,v3_wildfire_medium_03,controlled_synthetic_v3,V3 policy example; road scenario with contextual rescue urgency.,en,train
rpv3-02703,"Caller reports: At this location, transportation report: The area is safe and no one needs assistance at this location. near the school.",LOW,transportation,0,0,0,0,0,2,safe,v3_transportation_low_01,controlled_synthetic_v3,V3 policy example; safe scenario with contextual rescue urgency.,en,train
rpv3-02437,Transportation report: A person is unconscious with severe injuries and needs emergency medical help now. near the market. Please advise.,CRITICAL,transportation,1,0,0,1,1,2,medical,v3_transportation_critical_02,controlled_synthetic_v3,V3 policy example; medical scenario with contextual rescue urgency.,en,train
rpv3-00022,Please help: Flood report: A person is unconscious with severe injuries and requires emergency medical help now. along the main road. Please advise.,CRITICAL,flood,1,0,0,1,1,4,medical,v3_flood_critical_02,controlled_synthetic_v3,V3 policy example; medical scenario with contextual rescue urgency.,en,test
rpv3-03330,Please help: Societal report: A serious but stable injury needs prompt treatment; the person is conscious. near the market. Send the appropriate team.,HIGH,societal,1,0,0,1,1,5,injury,v3_societal_high_02,controlled_synthetic_v3,V3 policy example; injury scenario with contextual rescue urgency.,en,train
rpv3-02612,"Resident says: At this location, transportation report: Moderate damage affects the area; residents need a welfare check and basic assistance. near the school. This is the latest update.",MEDIUM,transportation,0,0,0,0,8,1,damage,v3_transportation_medium_01,controlled_synthetic_v3,V3 policy example; damage scenario with contextual rescue urgency.,en,test
rpv3-02666,"Please help: At this location, transportation report: One person has a stable minor injury and can wait for non-urgent medical assistance. by the river. This is the latest update.",MEDIUM,transportation,1,0,0,1,1,3,stable,v3_transportation_medium_04,controlled_synthetic_v3,V3 policy example; stable scenario with contextual rescue urgency.,en,train
rpv3-02061,Field update: Industrial report: A fast-moving fire has people trapped inside and crews are needed without delay. in the north district.,CRITICAL,industrial,0,1,1,0,6,4,fire,v3_industrial_critical_04,controlled_synthetic_v3,V3 policy example; fire scenario with contextual rescue urgency.,en,train
rpv3-00416,Field update: Earthquake report: People are trapped and cannot escape; immediate rescue is required. along the main road.,CRITICAL,earthquake,1,1,0,0,5,1,trapped,v3_earthquake_critical_01,controlled_synthetic_v3,V3 policy example; trapped scenario with contextual rescue urgency.,en,train
rpv3-00010,Resident says: Flood report: People are trapped and cannot escape; immediate rescue is required. near the school. Please advise.,CRITICAL,flood,1,1,0,0,5,4,trapped,v3_flood_critical_01,controlled_synthetic_v3,V3 policy example; trapped scenario with contextual rescue urgency.,en,train
