example_id,message,normalized_message,language,injured,trapped,fire,medical_emergency,people_affected,urgency,priority_label,priority_evidence_spans,temporal_status,perspective,severity_factors,missing_information_flags,needs_review,provenance,author_id,event_id,scenario_id,source_id,collection_session_id,paraphrase_group_id,template_family_id,annotator_id,second_reviewer_id,adjudication_status,review_reason,split,minimal_pair_id,minimal_pair_role,minimal_pair_changed_fact
PV4_03000,The local channel says the local channel reports a fire downtown at by the river. It was around noon in the north side; the route remains open.,the local channel says the local channel reports a fire downtown at by the river. it was around noon in the north side; the route remains open.,en,0,0,0,0,11,2,LOW,"[""the local channel reports a fire downtown""]",current,news_report,[],[],false,synthetic_proposed,author_090,event_00750,scenario_03000,synthetic_source_a,session_13,group_03000,family_collapse_08,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03001,"From at the apartment block, I can report: a person is trapped but trained responders are already reaching them. It was after lunch in the north side; the route remains open. Please advise when you can.","from at the apartment block, i can report: a person is trapped but trained responders are already reaching them. it was after lunch in the north side; the route remains open. please advise when you can.",en,0,1,0,0,17,3,CRITICAL,"[""a person is trapped but trained responders are already reaching them""]",current,first_person,"[""entrapment context""]",[],true,synthetic_proposed,author_091,event_00750,scenario_03001,synthetic_source_a,session_14,group_03001,family_storm_09,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03002,The situation at near the station is a person is trapped inside and smoke is filling the room. It was in the afternoon in the north side; the route remains open. No one here can handle it alone.,the situation at near the station is a person is trapped inside and smoke is filling the room. it was in the afternoon in the north side; the route remains open. no one here can handle it alone.,en,0,1,1,0,17,3,CRITICAL,"[""a person is trapped inside and smoke is filling the room""]",current,first_person,"[""immediate threat"", ""entrapment context"", ""worsening condition""]",[],true,synthetic_proposed,author_092,event_00750,scenario_03002,synthetic_source_a,session_15,group_03002,family_road_10,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03003,We are calling about outside the clinic; one person has a small injury and can walk. It was near sunset in the north side; the route remains open. Please send assistance.,we are calling about outside the clinic; one person has a small injury and can walk. it was near sunset in the north side; the route remains open. please send assistance.,en,1,0,0,0,5,2,MEDIUM,"[""one person has a small injury and can walk""]",current,first_person,"[""minor injury""]",[],false,synthetic_proposed,author_093,event_00750,scenario_03003,synthetic_source_a,session_16,group_03003,family_water_11,,,unreviewed,synthetic data; not human verified,test,,,
PV4_03004,"At in our neighborhood, the message is simple: one person has severe bleeding and is becoming weak. It was this evening in the north side; the route remains open. We need responders.","at in our neighborhood, the message is simple: one person has severe bleeding and is becoming weak. it was this evening in the north side; the route remains open. we need responders.",en,1,0,0,1,3,4,CRITICAL,"[""one person has severe bleeding and is becoming weak""]",current,first_person,"[""immediate threat"", ""severe injury""]",[],true,synthetic_proposed,author_094,event_00751,scenario_03004,synthetic_source_a,session_17,group_03004,family_missing_12,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03005,Update from near the bridge: the fire was contained and no one needs help; no assistance is needed now. It was after dark in the north side; the route remains open.,update from near the bridge: the fire was contained and no one needs help; no assistance is needed now. it was after dark in the north side; the route remains open.,en,0,0,1,0,3,1,LOW,"[""the fire was contained and no one needs help""]",resolved,household,[],[],false,synthetic_proposed,author_095,event_00751,scenario_03005,synthetic_source_a,session_18,group_03005,family_crowd_13,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03006,A resident near behind the school says smoke is near several homes but residents have a clear way out. It was overnight in the north side; the route remains open. I do not know what to do.,a resident near behind the school says smoke is near several homes but residents have a clear way out. it was overnight in the north side; the route remains open. i do not know what to do.,en,0,0,1,0,7,1,HIGH,"[""smoke is near several homes but residents have a clear way out""]",current,household,"[""worsening condition""]",[],false,synthetic_proposed,author_096,event_00751,scenario_03006,synthetic_source_a,session_19,group_03006,family_utility_14,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03007,"Please record this location, on the east road, and this fact: water is rising around homes and people can still reach the road. It was during the first watch in the north side; the route remains open. Please advise when you can.","please record this location, on the east road, and this fact: water is rising around homes and people can still reach the road. it was during the first watch in the north side; the route remains open. please advise when you can.",en,0,0,0,0,14,1,HIGH,"[""water is rising around homes and people can still reach the road""]",current,third_party_local,"[""worsening condition""]",[],false,synthetic_proposed,author_000,event_00751,scenario_03007,synthetic_source_a,session_20,group_03007,family_flood_15,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03008,"Our group is at by the river, where water is rising and we cannot get out of the upper floor. It was at shift change in the north side; the route remains open. No one here can handle it alone.","our group is at by the river, where water is rising and we cannot get out of the upper floor. it was at shift change in the north side; the route remains open. no one here can handle it alone.",en,0,1,1,0,15,2,CRITICAL,"[""water is rising and we cannot get out of the upper floor""]",current,first_person,"[""immediate threat"", ""entrapment context"", ""worsening condition""]",[],true,synthetic_proposed,author_001,event_00752,scenario_03008,synthetic_source_a,session_21,group_03008,family_fire_16,,,unreviewed,synthetic data; not human verified,test,,,
PV4_03009,I am reporting this from at the apartment block: the road is blocked by branches but nobody is hurt. It was before the rain in the north side; the route remains open. Please send assistance.,i am reporting this from at the apartment block: the road is blocked by branches but nobody is hurt. it was before the rain in the north side; the route remains open. please send assistance.,en,0,0,0,1,3,2,MEDIUM,"[""the road is blocked by branches but nobody is hurt""]",current,first_person,[],[],false,synthetic_proposed,author_002,event_00752,scenario_03009,synthetic_source_a,session_22,group_03009,family_medical_00,,,unreviewed,synthetic data; not human verified,train,,,
