id,message,priority_label,disaster_type,injured,trapped,fire,medical_emergency,people_affected,event_id,source_type,annotation_reason,language,split
rpv2-00126,Need assistance — Can someone help? the earthquake badly damaged the building and occupants must evacuate. near the school. No further details yet.,HIGH,earthquake,0,0,0,0,15,v2_earthquake_earthquake_high_evacuation,controlled_synthetic_v2,V2 mixed-disaster scenario family earthquake_high_evacuation; label reflects contextual rescue urgency.,en,test
rpv2-00420,Caller says: A chemical leak made the plant unsafe and workers need urgent evacuation. near the school. Please advise.,HIGH,industrial,0,0,0,1,30,v2_industrial_industrial_high_spill,controlled_synthetic_v2,V2 mixed-disaster scenario family industrial_high_spill; label reflects contextual rescue urgency.,en,train
rpv2-00688,Report from resident: Third-party report: An unconscious person is in the damaged shelter after the tornado. near the school. No further details yet.,CRITICAL,tornado,1,0,0,1,1,v2_tornado_tornado_critical_unconscious,controlled_synthetic_v2,V2 mixed-disaster scenario family tornado_critical_unconscious; label reflects contextual rescue urgency.,en,train
rpv2-00471,Field note: This is an industrial accident news report; no emergency is happening here. pls. on the east side.,LOW,industrial,0,0,0,0,0,v2_industrial_industrial_low_news,controlled_synthetic_v2,V2 mixed-disaster scenario family industrial_low_news; label reflects contextual rescue urgency.,en,train
rpv2-00187,"Please help, The earthquake preparedness drill is complete; this is not an emergency. on the east side. Please advise.",LOW,earthquake,0,0,0,0,0,v2_earthquake_earthquake_low_drill,controlled_synthetic_v2,V2 mixed-disaster scenario family earthquake_low_drill; label reflects contextual rescue urgency.,en,train
rpv2-00928,Report from resident: Third-party report: A small fire damaged an empty shed and is being contained. at the apartment block.,MEDIUM,wildfire,0,0,1,0,2,v2_wildfire_wildfire_medium_shed,controlled_synthetic_v2,V2 mixed-disaster scenario family wildfire_medium_shed; label reflects contextual rescue urgency.,en,train
rpv2-00589,Update: A person is bleeding severely and unconscious after the attack. Please send someone. near the school.,CRITICAL,societal,1,0,0,1,1,v2_societal_societal_critical_bleeding,controlled_synthetic_v2,V2 mixed-disaster scenario family societal_critical_bleeding; label reflects contextual rescue urgency.,en,test
rpv2-00392,Report from resident: Third-party report: An active fire has workers trapped inside the plant; send rescue immediately. by the river. We need the appropriate response.,CRITICAL,industrial,0,1,1,0,7,v2_industrial_industrial_critical_trapped,controlled_synthetic_v2,V2 mixed-disaster scenario family industrial_critical_trapped; label reflects contextual rescue urgency.,en,validation
rpv2-00178,"SOS: A small earthquake was felt, but nothing fell while no response is needed. on the east side.",LOW,earthquake,0,0,0,0,1,v2_earthquake_earthquake_low_shake,controlled_synthetic_v2,V2 mixed-disaster scenario family earthquake_low_shake; label reflects contextual rescue urgency.,en,train
rpv2-00742,"Need assistance — Can someone help? debris blocks the road after the tornado, but nobody is injured or trapped. on the east side.",MEDIUM,tornado,0,0,0,0,4,v2_tornado_tornado_medium_debris,controlled_synthetic_v2,V2 mixed-disaster scenario family tornado_medium_debris; label reflects contextual rescue urgency.,en,validation
