example_id,message,normalized_message,language,injured,trapped,fire,medical_emergency,people_affected,urgency,detailed_annotation_label,operational_outcome,temporal_status,perspective,evidence_spans,ambiguity_reason,provenance,author_id,event_id,scenario_id,source_id,collection_session_id,paraphrase_group_id,template_family_id,annotator_id,second_reviewer_id,adjudication_status,review_reason,split,minimal_pair_id,minimal_pair_role,minimal_pair_changed_fact,missing_information_flags
RV3_00000,Update from near the bridge: the incident ended and everyone is safe; no assistnce is needed now. It was before dawn in the north side; the route remains open.,update from near the bridge: the incident ended and everyone is safe; no assistnce is needed now. it was before dawn in the north side; the route remains open.,en,0,1,0,0,11,1,HISTORICAL_RESOLVED_OR_NO_LONGER_ACTIVE,NOT_RELEVANT,resolved,first_person,"[""the incident ended and everyone is safe""]",,synthetic_proposed,author_000,event_00000,scenario_00000,synthetic_source_a,session_00,group_00000,family_flood_00,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00001,This happened before at behind the school: the storm last month damaged the roof. It was early this morning in the north side; the route remains open.,this happened before at behind the school: the storm last month damaged the roof. it was early this morning in the north side; the route remains open.,en,0,0,1,0,4,2,HISTORICAL_RESOLVED_OR_NO_LONGER_ACTIVE,NOT_RELEVANT,historical,household,"[""the storm last month damaged the roof""]",,synthetic_proposed,author_001,event_00000,scenario_00001,synthetic_source_a,session_01,group_00001,family_fire_01,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00002,"For the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. It was during the morning in the north side; the route remains open.","for the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. it was during the morning in the north side; the route remains open.",en,0,1,0,1,8,2,DRILL_HYPOTHETICAL_OR_FICTIONAL,NOT_RELEVANT,future,third_party_local,"[""the exercise asks us to imagine a rescue""]",,synthetic_proposed,author_002,event_00000,scenario_00002,synthetic_source_a,session_02,group_00002,family_medical_02,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00003,The local channel says the local channel reports a fire downtown at by the river. It was around noon in the north side; the route remains open.,the local channel says the local channel reports a fire downtown at by the river. it was around noon in the north side; the route remains open.,en,0,0,0,0,13,2,NEWS_OR_THIRD_PARTY_REPORT,NOT_RELEVANT,current,news_report,"[""the local channel reports a fire downtown""]",,synthetic_proposed,author_003,event_00000,scenario_00003,synthetic_source_a,session_03,group_00003,family_collapse_03,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00004,"From at the apartment block, I can report: a person is trapped but trained responders are already reaching them. It was after lunch in the north side; the route remains open. Please advise when you can.","from at the apartment block, i can report: a person is trapped but trained responders are already reaching them. it was after lunch in the north side; the route remains open. please advise when you can.",en,0,1,0,0,9,3,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,first_person,"[""a person is trapped but trained responders are already reaching them""]",,synthetic_proposed,author_004,event_00001,scenario_00004,synthetic_source_a,session_04,group_00004,family_storm_04,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00005,The situation at near the station is a person is trapped inside and smoke is filling the room. It was in the afternoon in the north side; the route remains open. No one here can handle it alone.,the situation at near the station is a person is trapped inside and smoke is filling the room. it was in the afternoon in the north side; the route remains open. no one here can handle it alone.,en,0,1,1,0,1,5,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""a person is trapped inside and smoke is filling the room""]",,synthetic_proposed,author_005,event_00001,scenario_00005,synthetic_source_a,session_05,group_00005,family_road_05,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00006,We are calling about outside the clinic; one person has a small injury and can walk. It was near sunset in the north side; the route remains open. Please send assistance.,we are calling about outside the clinic; one person has a small injury and can walk. it was near sunset in the north side; the route remains open. please send assistance.,en,1,0,0,0,8,1,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""one person has a small injury and can walk""]",,synthetic_proposed,author_006,event_00001,scenario_00006,synthetic_source_a,session_06,group_00006,family_water_06,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00007,"At in our neighborhood, the message is simple: one person has severe bleeding and is becoming weak. It was this evening in the north side; the route remains open. We need responders.","at in our neighborhood, the message is simple: one person has severe bleeding and is becoming weak. it was this evening in the north side; the route remains open. we need responders.",en,1,0,0,1,4,4,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,first_person,"[""one person has severe bleeding and is becoming weak""]",,synthetic_proposed,author_007,event_00001,scenario_00007,synthetic_source_a,session_07,group_00007,family_missing_07,,,unreviewed,synthetic data; not human verified,test,,,,[]
RV3_00008,Update from near the bridge: the fire was contained and no one needs help; no assistance is needed now. It was after dark in the north side; the route remains open.,update from near the bridge: the fire was contained and no one needs help; no assistance is needed now. it was after dark in the north side; the route remains open.,en,0,0,1,0,14,1,HISTORICAL_RESOLVED_OR_NO_LONGER_ACTIVE,NOT_RELEVANT,resolved,household,"[""the fire was contained and no one needs help""]",,synthetic_proposed,author_008,event_00002,scenario_00008,synthetic_source_a,session_08,group_00008,family_crowd_08,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00009,A resident near behind the school says smoke is near several homes but residents have a clear way out. It was overnight in the north side; the route remains open. I do not know what to do.,a resident near behind the school says smoke is near several homes but residents have a clear way out. it was overnight in the north side; the route remains open. i do not know what to do.,en,0,0,1,0,8,2,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,third_party_local,"[""smoke is near several homes but residents have a clear way out""]",,synthetic_proposed,author_009,event_00002,scenario_00009,synthetic_source_a,session_09,group_00009,family_utility_09,,,unreviewed,synthetic data; not human verified,train,,,,[]
