id,message,priority_label,disaster_type,injured,trapped,fire,medical_emergency,people_affected,event_id,source_type,annotation_reason,language,split
rp-01623,I need to report that a bus crash caused serious injuries; everyone is conscious and responders are needed beside the market a few minutes ago; a family is accounted for. In a follow-up message; the team is waiting for guidance. Please send the appropriate response.,HIGH,transportation,1,0,0,1,7,high_transportation_transport_crash,controlled_synthetic,"Controlled scenario: transport_crash; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03744,"Our situation is this: smoke is visible far away, but no fire or danger is near us near the riverside after the storm; one person is accounted for. From the latest field note; this message is being shared with dispatch. Please record this situation.",LOW,wildfire,0,0,0,0,0,low_wildfire_smoke_report,controlled_synthetic,"Controlled scenario: smoke_report; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03004,"Dispatch message: hello, I am checking whether the emergency channel is available near the community center since early afternoon; one person is accounted for. According to the latest update; this message is being shared with dispatch. We are requesting responders.",LOW,other,0,0,0,0,0,low_other_greeting,controlled_synthetic,"Controlled scenario: greeting; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03567,there is a small crack in an empty building; no response is needed at the apartment block after the storm; one person is accounted for. A resident reports; the status should be reviewed. This is the latest update.,LOW,earthquake,0,0,0,0,0,low_earthquake_minor_damage,controlled_synthetic,"Controlled scenario: minor_damage; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03751,"Dispatch message: smoke is visible far away, but no fire or danger is near us at the apartment block over the last hour; one person is accounted for. The situation update states; responders should use this information. This is the latest update.",LOW,wildfire,0,0,0,0,0,low_wildfire_smoke_report,controlled_synthetic,"Controlled scenario: smoke_report; label reflects operational rescue urgency, not keyword presence.",en,train
rp-01244,Dispatch message: the earthquake badly damaged a building and occupants must evacuate beside the market a few minutes ago; a family is accounted for. From the latest field note; this message is being shared with dispatch. Please record this situation.,HIGH,earthquake,0,0,0,0,14,high_earthquake_structural_damage,controlled_synthetic,"Controlled scenario: structural_damage; label reflects operational rescue urgency, not keyword presence.",en,train
rp-01099,Our situation is this: rising floodwater is entering several homes and residents need evacuation in the north neighborhood over the last hour; two people are accounted for. The latest check confirms; the information is ready for triage. We are requesting responders.,HIGH,flood,0,0,0,0,12,high_flood_evacuation,controlled_synthetic,"Controlled scenario: evacuation; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02466,Dispatch message: one person has a painful but stable injury and needs assistance on the main road over the last hour; one person is accounted for. A resident reports; the operations desk has been notified.,MEDIUM,other,1,0,0,1,1,medium_other_medical_help,controlled_synthetic,"Controlled scenario: medical_help; label reflects operational rescue urgency, not keyword presence.",en,test
rp-03323,SOS report: the fire drill is scheduled for tomorrow and everyone is safe near the riverside over the last hour; two people are accounted for. In a follow-up message; the team is waiting for guidance. This is the latest update.,LOW,industrial,0,0,1,0,0,low_industrial_drill,controlled_synthetic,"Controlled scenario: drill; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00350,I need to report that an active fire has people trapped inside the building beside the market during the night; several residents are accounted for. From the latest field note; the message is complete. We are requesting responders.,CRITICAL,industrial,0,1,1,0,9,critical_industrial_fire_trapped,controlled_synthetic,"Controlled scenario: fire_trapped; label reflects operational rescue urgency, not keyword presence.",en,train
rp-01688,Dispatch message: a bus crash caused serious injuries; everyone is conscious and responders are needed near the riverside over the last hour; two people are accounted for. The dispatch note says; this is the current field description. Please send the appropriate response.,HIGH,transportation,1,0,0,1,7,high_transportation_transport_crash,controlled_synthetic,"Controlled scenario: transport_crash; label reflects operational rescue urgency, not keyword presence.",en,train
rp-01096,rising floodwater is entering several homes and residents need evacuation by the school this morning; two people are accounted for. The latest check confirms; the operations desk has been notified. Please send the appropriate response.,HIGH,flood,0,0,0,0,12,high_flood_evacuation,controlled_synthetic,"Controlled scenario: evacuation; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00241,Please help: a person is bleeding severely after the crash and needs immediate medical rescue in the north neighborhood over the last hour; one person is accounted for. From the latest field note; responders should use this information. This is the latest update.,CRITICAL,transportation,1,0,0,1,1,critical_transportation_bleeding,controlled_synthetic,"Controlled scenario: bleeding; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00881,I need to report that the hurricane destroyed the building and injured residents need immediate rescue near the community center a few minutes ago; workers are accounted for. The dispatch note says; responders should use this information. Please record this situation.,CRITICAL,hurricane,1,0,0,1,9,critical_hurricane_hurricane_rescue,controlled_synthetic,"Controlled scenario: hurricane_rescue; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-00644,SOS report: wildfire surrounds the house and residents are trapped inside beside the market since early afternoon; two people are accounted for. From the latest field note; this message is being shared with dispatch. This is the latest update.,CRITICAL,wildfire,0,1,1,0,4,critical_wildfire_wildfire_trapped,controlled_synthetic,"Controlled scenario: wildfire_trapped; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00879,Our situation is this: the hurricane destroyed the building and injured residents need immediate rescue by the school since early afternoon; several residents are accounted for. The response log records; the information is ready for triage.,CRITICAL,hurricane,1,0,0,1,9,critical_hurricane_hurricane_rescue,controlled_synthetic,"Controlled scenario: hurricane_rescue; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-00402,rapidly rising floodwater has trapped a family and they cannot escape beside the market after the storm; workers are accounted for. According to the latest update; the report has been logged. We are requesting responders.,CRITICAL,flood,0,1,0,0,5,critical_flood_flood_trapped,controlled_synthetic,"Controlled scenario: flood_trapped; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02878,"SOS report: a landslide has closed a local route, but no one is trapped at the apartment block after the storm; several residents are accounted for. The response log records; this is the current field description. This is the latest update.",MEDIUM,other,0,0,0,0,4,medium_other_local_disruption,controlled_synthetic,"Controlled scenario: local_disruption; label reflects operational rescue urgency, not keyword presence.",en,test
rp-01449,I need to report that hurricane damage has made several homes unsafe and families need assistance by the school this morning; workers are accounted for. From the latest field note; the information is ready for triage. Please send the appropriate response.,HIGH,hurricane,0,0,0,0,16,high_hurricane_storm_damage,controlled_synthetic,"Controlled scenario: storm_damage; label reflects operational rescue urgency, not keyword presence.",en,train
