text,label
I hurt my leg and I'm stuck upstairs,relevant
cant get out pls send somebody,relevant
"Smoke is filling the kitchen, what do I do",relevant
my dad fell and wont wake up,relevant
water through the front door rn,relevant
"We are safe now, just reporting yesterday's flood",not_relevant
Does anyone know a good disaster movie?,not_relevant
The emergency drill at school went well,not_relevant
my cousin had a broken leg but is recovered,not_relevant
News says a fire happened across the border,not_relevant
pls help me finish this homework,not_relevant
building a model house for class,not_relevant
I cannot find my way out of this unfamiliar station,relevant
elderly neighbors are inside and the power is out,relevant
there was smoke earlier but it is gone and everyone left,not_relevant
the river is rising around our only road,relevant
Happy birthday to my sister,not_relevant
my phone is dying and I need a charger,not_relevant
fire drill starts at ten,not_relevant
"we're trapped by rubble, no signal",relevant
I saw a rescue helicopter on television,not_relevant
"please help, my ankle is badly swollen and I am alone",relevant
The weather is lovely today,not_relevant
there is a strange smell and everyone is coughing,relevant
the report says buildings shook overnight,not_relevant
cant breathe well call ambulance,relevant
the rescue drill had realistic smoke,not_relevant
our only bridge disappeared in the storm,relevant
I watched a disaster documentary,not_relevant
someone is yelling for help next door,relevant
help choosing a birthday gift,not_relevant
im stuck in traffic but safe,not_relevant
my sister is locked inside and crying,relevant
